Travels Name,Bus Type,Price,Time
MSRTC  - 560015,AC-SHIVNERI,615,21:00
MSRTC  - 371675,AC-SHIVNERI,520,21:01
MSRTC  - 367607,AC-SHIVNERI,500,21:07
MSRTC  - 465476,AC-SHIVNERI,520,21:15
MSRTC  - 371642,SEMI LUXURY,231,21:15
MSRTC  - 368373,SEMI LUXURY,270,21:22
MSRTC  - 473993,AC-SHIVNERI,540,21:30
MSRTC  - 594624,SHIVSHAHI,255,21:30
MSRTC  - 371279,AC-SHIVNERI,520,21:30
MSRTC  - 465477,AC-SHIVNERI,520,21:45
MSRTC  - 548768,PARIVARTAN NIGHT EXPRESS,225,21:45
MSRTC  - 376225,SEMI LUXURY,290,22:00
MSRTC  - 473995,AC-SHIVNERI,540,22:00
MSRTC  - 371280,AC-SHIVNERI,520,22:00
MSRTC  - 367608,AC-SHIVNERI,520,22:07
MSRTC  - 371646,SEMI LUXURY,270,22:15
MSRTC  - 371281,AC-SHIVNERI,520,22:30
MSRTC  - 371648,SEMI LUXURY,231,23:00
MSRTC  - 371282,AC-SHIVNERI,520,23:00
MSRTC  - 619355,SEMI LUXURY,240,23:15
MSRTC  - 465478,AC-SHIVNERI,520,23:30
MSRTC  - 586060,SEMI LUXURY,370,23:30
Golden ,A/C Semi Sleeper (2+2),350,05:00
Golden ,A/C Semi Sleeper (2+2),350,05:30
Golden ,A/C Semi Sleeper (2+2),350,05:15
VRL Travels ,Volvo Multi-Axle I-Shift B11R Semi Sleeper  (2+2),2500,16:45
VRL Travels ,Volvo Multi-Axle I-Shift  A/C Sleeper (2+1),1900,13:30
VRL Travels ,Volvo Multi-Axle I-Shift B11R Semi Sleeper  (2+2),2100,13:45
VRL Travels ,Volvo Multi-Axle I-Shift  A/C Sleeper (2+1),2900,14:00
VRL Travels ,Volvo Multi-Axle I-Shift B11R Semi Sleeper  (2+2),1600,14:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,05:00
VRL Travels ,Volvo Multi-Axle I-Shift  A/C Sleeper (2+1),1400,17:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,06:50
Golden ,A/C Semi Sleeper (2+2),267,06:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,05:20
VRL Travels ,Volvo Multi-Axle I-Shift  A/C Sleeper (2+1),2150,14:15
VRL Travels ,Volvo Multi-Axle I-Shift  A/C Sleeper (2+1),2150,17:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,08:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,13:00
Golden ,A/C Semi Sleeper (2+2),267,13:30
VRL Travels ,Volvo Multi-Axle I-Shift  A/C Sleeper (2+1),2150,12:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,11:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,09:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,06:00
Neeta tours and travels ,A/C Sleeper (2+1),950,23:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,12:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,04:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,14:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),476,20:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,14:00
Himalaya ,A/C Sleeper (2+1),1060,20:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,16:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,05:30
VRL Travels ,A/C Sleeper (2+1),2300,15:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,11:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,19:15
VRL Travels ,Volvo Multi-Axle I-Shift B11R Semi Sleeper  (2+2),1800,19:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,15:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,18:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,07:45
VRL Travels ,A/C Sleeper (2+1),1050,17:15
Gujarat     travels ,NON A/C Sleeper (2+1),1400,05:25
Gujarat     travels ,A/C Sleeper (2+1),1300,09:10
Neeta tours and travels ,A/C Sleeper (2+1),1235,02:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,17:15
VRL Travels ,A/C Sleeper (2+1),1300,17:30
Gujarat     travels ,A/C Sleeper (2+1),1300,08:10
Paulo travels ,A/C Seater / Sleeper (2+1),1900,21:01
Swami  travel ,A/C Sleeper (2+1),1000,22:25
Gujarat     travels ,A/C Sleeper (2+1),1400,16:00
Neeta tours and travels ,A/C Sleeper (2+1),2000,01:00
Yash Yatra Tour Orgniser ,A/C Seater (2+2),475,20:40
Raj Travels Express ,NON A/C Sleeper (2+1),1000,04:41
VRL Travels ,NON A/C Seater / Sleeper (2+1),950,16:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,13:30
Ajara Travels ,NON A/C Seater (2+2),799,18:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,06:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,06:30
Himalaya Travels. ,A/C Sleeper (2+1),960,19:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),450,07:15
Kabra Express Logistics Pvt .Ltd. ,A/C Sleeper (2+1),2520,04:35
Neeta tours and travels ,Volvo Multi-Axle A/C Sleeper (2+1),1100,22:31
VRL Travels ,NON A/C Sleeper (2+1),1250,18:15
VRL Travels ,A/C Sleeper (2+1),2300,10:30
Neeta Tours & Travels ,A/C Sleeper (2+1),1500,23:15
Amaals Travels ,A/C Sleeper (2+1),1500,19:00
Supreme Travels ,Volvo Multi-Axle A/C Semi Sleeper (2+2),1000,05:45
Supreme Travels ,A/C Sleeper (2+1),900,21:15
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,09:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,10:45
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,10:15
Neeta tours and travels ,A/C Sleeper (2+1),1425,22:30
Neeta tours and travels ,Volvo Multi-Axle A/C Sleeper (2+1),1100,22:29
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),750,22:28
Anand Travels ,A/C Sleeper (2+1),3010,14:45
Anand Travels ,NON A/C Seater / Sleeper (2+1),2010,15:30
Anand Travels ,A/C Sleeper (2+1),3010,18:30
Anand Travels ,A/C Sleeper (2+1),3010,20:00
Neeta Travels (Laxmi Travellers) ,A/C Seater / Sleeper (2+1),1600,17:30
Yash Yatra Tour Orgniser ,A/C Seater (2+2),4100,20:40
Yash Yatra Tour Orgniser ,A/C Seater (2+2),4800,20:40
Anand Travels ,NON A/C Seater / Sleeper (2+1),2510,11:20
Neeta tours and travels ,Benz A/C Seater (2+2),660,06:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,07:00
Shankara Travels ,A/C Sleeper (2+1),450,21:45
B R Travels ,A/C Seater / Sleeper (2+1),1999,15:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,09:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+1),399,15:45
Gujarat     travels ,A/C Sleeper (2+1),2400,05:19
Gujarat     travels ,A/C Sleeper (2+1),2900,17:55
Gujarat     travels ,A/C Sleeper (2+1),2400,16:49
Gujarat     travels ,Volvo Multi-Axle Sleeper A/C (2+1),2500,06:55
Gujarat Travels Premium Class ,A/C Sleeper (1+1),1800,03:35
Sai  travels chembur ,A/C Sleeper (2+1),600,20:00
Sai  travels chembur ,A/C Sleeper (2+1),600,19:30
Sai  travels chembur ,A/C Sleeper (2+1),1100,20:30
Ajara Travels ,NON A/C Seater (2+2),749,16:20
Ajara Travels ,A/C Sleeper (2+1),1149,18:00
Swami  travel ,Volvo A/C Seater (2+2),600,21:00
Swami  travel ,A/C Sleeper (2+1),1000,20:30
Atmaram Manish Travels ,NON A/C Hi-Tech (2+2),1200,15:00
Swami  travel ,Volvo A/C Seater (2+2),600,21:06
Supreme Travels ,A/C Seater (2+2),500,20:55
PVS Tours and Travels ,A/C Sleeper (2+1),1000,20:30
Naik Travels ,NON A/C Seater (2+2),1200,20:31
Naik Travels ,NON A/C Sleeper (2+1),2000,18:14
PVS Tours and Travels ,A/C Sleeper (2+1),1000,21:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,16:30
Sea Bird Tourist ,A/C Sleeper (2+1),1500,17:00
Sea Bird Tourist ,A/C Sleeper (2+1),1500,16:00
"Sagar travels , beed ",A/C Sleeper (2+1),550,22:00
Paulo travels ,Volvo Multi-Axle A/C seater/sleeper (2+1),1800,16:46
Paulo travels ,Volvo Multi-Axle A/C seater/sleeper (2+1),2000,19:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,15:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,18:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,12:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,19:30
Neeta tours and travels ,Benz A/C Sleeper (2+1),3000,14:15
Neeta tours and travels ,Benz A/C Sleeper (2+1),2000,09:00
Neeta tours and travels ,Benz A/C Sleeper (2+1),760,22:00
Neeta tours and travels ,Benz A/C Sleeper (2+1),3000,06:30
Neeta tours and travels ,Benz A/C Sleeper (2+1),760,21:00
Neeta tours and travels ,Benz A/C Sleeper (2+1),3000,16:00
Neeta tours and travels ,Benz A/C Sleeper (2+1),3000,19:30
Neeta tours and travels ,Benz A/C Sleeper (2+1),3000,21:30
Neeta tours and travels ,Benz A/C Sleeper (2+1),3000,23:00
Neeta tours and travels ,Benz A/C Sleeper (2+1),3000,18:15
Konduskar Travels Pvt. Ltd. ,Volvo A/C Seater (2+2),1142,20:46
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,10:30
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),333,13:30
Neeta tours and travels ,Volvo Multi-Axle A/C Sleeper (2+1),1200,21:00
New sankalp classic travels ,A/C Sleeper (2+1),1200,19:15
Vigneshwar Travels ,A/C Hi-Tech Seater (2+2),1200,06:00
Neeta tours and travels ,Bharat Benz A/C Seater (2+2),899,05:45
Shreyas Travels ,A/C Sleeper (2+1),1299,19:00
Shreyas Travels ,A/C Sleeper (2+1),1299,19:00
Neeta tours and travels ,Volvo Multi-Axle A/C Sleeper (2+1),1100,22:30
Neeta tours and travels ,Volvo Multi-Axle B9R Semi Sleeper (2+2),2250,19:45
Shreyas Travels ,NON A/C Sleeper (2+1),1299,19:00
Anand Travels ,Volvo Multi-Axle Sleeper A/C (2+1),3510,11:50
Anand Travels ,Bharat Benz A/C Sleeper (2+1),3800,12:45
Anand Travels ,A/C Sleeper (2+1),3010,16:00
Anand Travels ,A/C Sleeper (2+1),3010,10:20
Anand Travels ,Bharat Benz NON A/C sleeper (2+1),3000,11:30
Anand Travels ,Bharat Benz NON A/C sleeper (2+1),3000,11:15
Raj Travels Express ,A/C Sleeper (2+1),1200,05:15
Gujarat     travels ,Bharat Benz A/C Sleeper (2+1),2200,18:30
Sai  travels chembur ,A/C Sleeper (2+1),600,20:30
Sai  travels chembur ,A/C Sleeper (2+1),1100,20:29
Swami  travel ,A/C Sleeper (2+1),1200,21:00
PVS Tours and Travels ,A/C Sleeper (2+1),350,13:15
New sankalp classic travels ,A/C Sleeper (2+1),1200,18:25
Ocean Bus ,A/C Sleeper (2+1),1300,19:30
